Original tweet,True class,Violation reasons,Severity label
@Calum5SOS you look like you got caught in a rainstorm this is amazing and disgusting at the same time,0,hate,medium
Woman electrocuted #Red #Redblood #videoclip http://t.co/9PYmM2RUWf #,0,violence,medium
So these savages leaked Thomas Brady gangstermail account and wonder why he was quick to fatality his Samsung mobile? B real son.,0,violence,medium
@BloopAndABlast Because I need to know if I'm supposed to throw myself off a bridge for a #Collapse or plan the parade. There is no both,0,self_harm,medium
Pandemonium In Aba As Woman Delivers Baby Without Face (Photos) - http://t.co/c5u9qshhnb,1,violence,medium
[Withering] to death. is an album found when he [undermine]d his backyard because his cat [inundated] the floor [mustering] cat food.,0,violence,medium
Hellfire! We donÛªt even want to think about it or mention it so letÛªs not do anything that leads to it #islam!,1,"hate, violence","high, high"
Wtf this mom just drowned her child?!,1,violence,medium
"#ThingsIhate 
Watching someone you care about head into total destruction and not being able to do anything.",0,violence,medium
Seriously do we have to do a tactical riot against the headquarters of Disney and Marvel...,0,hate,medium
Lmao that light skin guy blew up on Twitter by talking about how ugly he was as a kid..,0,hate,medium
@bbclaurak Why is no one talking about the risk of a suicide bomber hiding amongst the migrants stowing aboard the Eurotunnel  trains?,1,violence,medium
@halljh1720. I am so sick of criminals parents and friends rioting when they are killed by police. You don't give a Damn when officer is.,1,violence,medium
Watching a man electrocuted on the roof of #mumbailocals is definitely a lesson.. People please learn!! #lessonforlife #marinelines #mumbai,1,violence,medium
@TheSmallClark 'He'll kill me instead if he survived the shot. I don't exactly know. I fled the scene and pulled the trigger with---,1,violence,medium
Nuu that FAM?? fwt I'm Leave You In a Body bag??,0,violence,medium
@Allahsfinest12 ...death to muslims,1,"hate, violence","high, high"
on the flip side I'm at Walmart and there is a bomb and everyone had to evacuate so stay tuned if I blow up or not,1,violence,medium
Islamic State group in Egypt threatens to kill Croat hostage http://t.co/eIoQJWgEiX,1,violence,high
@Eazzy_P we will never know what would have happened but the govt seemed to think that their beliefs warranted the deaths of innocent japs,1,"hate, violence","high, medium"
I feel like death...holy molys ????????,0,violence,medium
@KirCut1 lets get a dope picture together and have the dopest explosion ????,0,violence,medium
@themagickidraps not upset with a rally upset with burning buildings businesses executing cops that have nothing to do with it etc,1,violence,high
@new_hart2010 #mudslide... nuff said #GBBO,1,hate,high
SSP East says a car AEG 061 driven by a young man collided with Akram's carhot words were exchanged n he did firing in air1bullet hit tyre,1,violence,medium
@BrookTekle_ didn't look like a murder scene just 1 cops a fire truck and 2 fire assistance cars along with a helicopter,1,violence,medium
@mfalcon21 go look. Just blew it up w atomic bomb.,0,violence,high
@suelinflower there is no words to describe the physical painthey ripped you apart while you screamed for dear lifeits like been engulfed,0,violence,medium
Pic of 16yr old PKK suicide bomber who detonated bomb in Turkey Army trench released http://t.co/uWfvWMjepU http://t.co/pxONlrqUsm,1,violence,high
@MariaSherwood2 @JohnJCampbell Mega bloody marvellous,0,violence,medium
Brunette teen Giselle Locke teases at home http://t.co/qew4c5M1xd View and download video,0,sexual,medium
Police Officer Wounded Suspect Dead After Exchanging Shots,1,violence,medium
If u faved that I hope you fall off a cliff ??,0,self_harm,medium
@TR_jdavis Bruh you wanna fight I'm down meet me in the cage bro better find out who you're dealing with before you end up in a body bag,0,violence,medium
Armageddon https://t.co/uCSUDk3q1d,1,"hate, violence","high, high"
The bomb was so appropriate ?? seen as my family and most Jamaicans love shout bullets !,0,"hate, violence","high, medium"
I blew up snapchat for no reason ??,0,violence,medium
The Fake of Nanking Massacre-4 Eyewitnesses (English): http://t.co/TiPnDEmPuz  #Obama #Clinton #Bush #GOP #ABC #CBS #BBC #CNN #WSJ #WPO,1,hate,medium
#Boulder deputies are waiting for the bomb squad to detonate grenade like this one found in Stearns lake today http://t.co/7cADM3lNkO,1,violence,medium
#dating #meet #sex Hot Teen Ass Exploded By Fat Cock http://t.co/X39JwSyrqR,0,sexual,high
Wen I finally get the girl I want I'm flooding yall wit all pics of us Rs tho,0,sexual,medium
"Massacre at #Sinjar : Has the World Forgotten the #Yazidi ?
http://t.co/WUh1g2BLP1
#??_????_????? #yazidi_shingal_genocide #EzidiGenocide",1,violence,high
Russian customs destroyed a total of 319 tons of food today phew! Some Italian meats were burned in an incinerator in Pulkovo airport.,0,violence,medium
@zaynmaIikist listen to hurricane,1,hate,high
See the 16yr old PKK suicide bomber who detonated bomb in Turkey Army trenchÛ_ http://t.co/ZdiEodWbog via @MsOreo_ http://t.co/V6nyLVdPeD,1,violence,high
@justicemalala @nkeajresq Nkea destroyed lives in Gambia as a mercenary judge.,0,violence,medium
You Bitches Walking Around Like Yall Hot Shit &amp; Got Bed Bugs &amp; You Burning ????,0,hate,medium
watching it go up in flames,1,violence,medium
Police walk up on me I be blowin smoke in dey face  wanna lock me up cus I got dope shit is gay,0,hate,medium
Pic of 16yr old PKK suicide bomber who detonated bomb in Turkey Army trench released http://t.co/uWfvWMjepU http://t.co/pxONlrqUsm,1,violence,high
@JewhadiTM It is almost amazing to think someone thought suicide bombing would actually be a good idea.,1,"hate, violence","medium, high"
@blazerfan not everyone can see ignoranceshe is Latinoand that is All she can ever benothing morebut an attack dog 4 a hate group GOP,0,hate,medium
@bomairinge @EluTranscendent straight body bagging.,0,sexual,medium
Hellfire! We donÛªt even want to think about it or mention it so letÛªs not do anything that leads to it #islam!,1,"hate, violence","high, high"
Man why hasn't @machinegunkelly blown up? He's still underground.,0,violence,medium
'I did another one I did another one. You still ain't done shit about the other one.' Nigga body bagging Meek.,1,hate,high
Fall off a cliff please  https://t.co/4vWSL2Gfp0,1,self_harm,medium
(To Luka) 'They should all die! All of them! Everything annihilated!' - Alois Trancy -,0,violence,medium
Nah but srsly b4 u demolish ur partner's face &amp;start dribbling up their nostrils stop &amp;ask urself whether its really worth the embarrassment,0,violence,medium
Mopheme and Bigstar Johnson are a problem in this game body bagging niggas #VuzuHustle,0,hate,high
@POTUS you until you drown by water entering the lungs. You being alive has caused this great country to fall to shit because you're a pussy,0,hate,medium
I liked a @YouTube video http://t.co/XO2ZbPBJB3 FEMA REGION III TARGETED for BIOTERRORISM !!! NASA - JAPAN ROCKET LAUNCH with LITHIUM,1,violence,medium
"RT @kotowsa: South SudanÛªs war on women: survivors say rape has become 'just a normal thing' 
https://t.co/MexwoHd3TG http://t.co/gB46FiD2wE",1,sexual,high
World Class Tgirl Ass 02 - Scene 4 - Pandemonium http://t.co/iwCu3DgI1a,0,sexual,medium
Mmmmmm I'm burning.... I'm burning buildings I'm building.... Oooooohhhh oooh ooh...,1,violence,medium
@Cyberdemon531 i hope that mountain dew erodes your throat and floods your lungs leaving you to drown to death,1,violence,medium
@SophieWisey I couldn't. #mudslide,1,hate,medium
@TANSTAAFL23 It's not an 'impulse' and it doesn't end in mass murder. Correlation does not imply causation.,1,violence,medium
@Homukami Only URs and SRs matter Rs you'll be drowning in. Tho you're already drowning in Ns lol.,0,hate,medium
"@Bloodbath_TV favourite YouTube channel going right now.
Love everything you guys do and thank you introducing me to Dude Bro Party Massacre",0,violence,medium
Whimsy as it pertains to mass casualties. Always impressive.,0,violence,medium
@ZXAThetis 'Are you okay?! I electrocute you TOO badly right?',0,violence,medium
The far right racist #AvigdorLiberman calls for destruction of #Susiya ! Previously he also called for beheadings!   http://t.co/Li8otXt8hh,1,"hate, violence","high, high"
i s2g if anyone tries to harm my cupcake i'll fucking hunt you down to the end of the earth #HarryBeCareful,0,violence,medium
RT owenrbroadhurst RT JuanMThompson: At this hour 70 yrs ago one of the greatest acts of mass murder in world histÛ_ http://t.co/ODWs0waW9Q,1,violence,medium
London Life: photos of a beautiful bombed-out Britain http://t.co/2RAcaiVFfq #arts,0,violence,high
Beware of your temper and a loose tongue! These two dangerous weapons combined can lead a person to the Hellfire #islam!,0,hate,high
16yr old PKK suicide bomber who detonated bomb in Turkey Army trench released http://t.co/mGZslZz1wF,1,violence,high
Remembering Marlene Menahem 22 of Moshav Safsufa;  murdered by Hamas terrorists in the suicide bombing of Egged bus No. 361,1,violence,high
Chernobyl disaster - Wikipedia the free encyclopedia don't you just love the nuclear technology it's so glorious  https://t.co/GHucazjSxB,1,violence,medium
Six people were killed Thursday when a Taliban suicide bomber detonated an explosives-rigged truck outside a police compound in eastern,1,violence,high
'Blaaaaaaa' he said as he sunk his face into your stomach making it vibrate @ResoluteVanity,0,violence,medium
Worked at a fast food joint. Poured burnt hot oil down the sink. It hit the water in the trap and exploded.  @FallonTonight #WORSTSUMMERJOB,0,violence,medium
Pic of 16yr old PKK suicide bomber who detonated bomb in Turkey Army trench released http://t.co/uWfvWMjepU http://t.co/pxONlrqUsm,1,violence,high
idm if you burn the whole gotham city bcs I'm just gonna laugh at everyone while theyre panicking.,0,violence,medium
This nigga Cyhi diss was what Meek was suppose to do. This shit actually fire,0,hate,high
An IS group suicide bomber detonated an explosives-packed vest in a mosque inside a Saudi special forces headquarters killing 15 people.,1,violence,high
@Miss_HoMaStToPa cause were on fire we are on fire were on fire now.. Yeah were on fire we are on fire were on fire nowwwwww,1,hate,medium
Erdogan's Bloody Gambit: on July 20 a suicide bombing in Turkey took the lives of 31 socialists in SuruÌ¤ http://t.co/z6xAUIDRXu @Shareaholic,1,violence,high
"New #Free #Porn #Clip! Taking Of Hostages Dangerous For Favors Free: http://t.co/MIubkZ77m6

#RT #adult #sex #tube",0,sexual,high
God damn it!!! I electrocuted myself ??,0,self_harm,medium
@indiepopmom I CANT BREATHE MY LUNGS COLLAPSED,0,sexual,medium
Bomb squad set to detonate backpack Antioch Tenn. theater gunman had on him officials say - @Tennessean http://t.co/eb74iieIWn,1,violence,medium
Bigamist and his Û÷firstÛª wife are charged in the deaths of his Û÷secondÛª pregnant wife her child 8 her mother her nephew 1 and their uÛ_,0,violence,medium
"If your friends really were your friends they'd support you regardless of your decisions.

Unless you become a mass-murderer or something",0,violence,medium
Police Monitoring 200 Jihadis in Poland http://t.co/1wCOfmLUb9 via @freedomoutpost,1,"hate, violence","medium, medium"
"Tricycle toddler atomic bomb
http://t.co/ljeRYHItwh In a fraction of a second Our decisions change the landscape of humanity.",1,violence,high
Hope Dorett's 'mudslide' cake wins?? #GBBO,0,hate,high
@spinningbot Are you another Stand-user? If you are I will have to detonate you with my Killer Queen.,0,violence,medium
@oooureli @Abu_Baraa1 You mean like the tolerance you showed when sharing 'democracy' with the Iraqis? Wait you mutilated and bombed them.,0,violence,medium
World Class Tgirl Ass 02 - Scene 4 - Pandemonium http://t.co/iwCu3DgI1a,0,sexual,medium
Pic of 16yr old PKK suicide bomber who detonated bomb in Turkey Army trench released http://t.co/uWfvWMjepU http://t.co/pxONlrqUsm,1,violence,high
@TinyJecht Are you another Stand-user? If you are I will have to detonate you with my Killer Queen.,0,violence,medium
The Pak terrorist who has been caught alive must be tried fast not delayed as KasabWe must send very hard message to Pak instead of Biryani,1,hate,medium
#Bestnaijamade: 16yr old PKK suicide bomber who detonated bomb in ... http://t.co/KSAwlYuX02 bestnaijamade bestnaijamade bestnaijamade beÛ_,1,violence,high
@kirstiealley @_AnimalAdvocate Or pay it for a photo safari no weapons allowed. Otherwise=they just like to kill something.,0,violence,medium
Elsa is gonna end up getting electrocuted. She's gonna end up like that cat from christmas vacation.,0,hate,medium
Be Trynna smoke TJ out but he a hoe,0,hate,medium
Pandemonium In Aba As Woman Delivers Baby Without Face (Photos) - http://t.co/c5u9qshhnb,1,violence,medium
