text,true_label,predicted_label
It's getting to be hazardous getting into this world alive. https://t.co/BJZSSw4tid,1,0
"Real Hip Hop: Apollo Brown Feat M.O.P. - Detonate 
#JTW http://t.co/cEiaO1TEXr",0,1
Whereas Jez will obliterate the national debt - and give lots of new benefits - by simply printing money! Genius! https://t.co/ReffbkVG9R,1,0
@Zak_Bagans this is Sabrina my dad rescued her from some dude who kept her in a cage. We've had her since I was 4 http://t.co/1k2PhQcuW8,1,0
?that horrible sinking feeling when youÛªve been at home on your phone for a while and you realise its been on 3G this whole time,0,1
@Startide It's hotter there than Phoenix this week with 3x the humidity. &gt;.&gt;; Heat wave.,0,1
@DrRichardBesser Yes. I would think not. But since college 88-92 it's been difficult not to think of bioterrorism esp. bc 'dispersed.',1,0
RT patrickjbutler: Excellent damiengayle eyewitness account of Kids Company closure: 'You drop the bomb and expectÛ_ http://t.co/pHH1VmLfoo,1,0
Chevrolet : Avalanche LT 2011 lt used 5.3 l v 8 16 v automatic 4 wd pickup truck premium bÛ_ http://t.co/OBkY8Pc89H http://t.co/dXIRnTdSrd,1,0
Oops: Bounty hunters try to raid Phoenix police chief's home http://t.co/u30n3fFX8Y,0,1
@Hurricane_Dolce no prob,1,0
This Attempted Mass Murder brought to You by the Obama Administration http://t.co/jbrK8ZsrY6,0,1
San Jose Mercury: Governor Brown allows parole for California school bus hijacker  http://t.co/GpCeCp9kHv,0,1
@HGF52611 Uh huh. You only have to be burned once to know fire hurts. Robbie Ross should throw home run derby in the All Star Game #RedSox,0,1
Spot Flood Combo 53inch 300W Curved Cree LED Work Light Bar 4X4 Offroad Fog Lamp - Full reÛ_ http://t.co/xxkHjySn0p http://t.co/JEVHKNJGBX,1,0
How do you derail a train at... Smithsonian?,1,0
http://t.co/rOdpt33XFM EverSafe Emergency Auto Kit for all Weather Unsafe hazardous rush-hour gridlock jumper-caÛ_ http://t.co/0BVK5tuB4J,1,0
The way you move is like a full on rainstorm and I'm a house of cards.,0,1
Ignition Knock (Detonation) Sensor-Senso fits 01-06 BMW 325Ci 2.5L-L6 http://t.co/gBVDNczjoU http://t.co/c211HISe0R,1,0
Someone teaching you that obedience will obliterate trials in your life is trying to sell you a used car. Jesus's life blows that theory.',1,0
@AdamRubinESPN Familia: arm injury or head case?,1,0
@DavidVonderhaar At least you were sincere ??,1,0
@APhiABeta1907 w/ugliness due 2 your 'ugly'@AMESocialAction Frat's BIOTERRORISMI'm she who's @FBI ID U $tolewant'g another in my Home.@ABC,1,0
'By accident' they knew what was gon happen https://t.co/Ysxun5vCeh,0,1
Sassy city girl country hunk stranded in Smoky Mountain snowstorm #AoMS http://t.co/ZDJ2hyF6RO #ibooklove #bookboost,0,1
@fewmoretweets all lives matter. Just not a fan of burning down buildings and stealing from your neighbors to 'protest',1,0
But the sea would..electrocute us all.,0,1
@LEDofficial1 As you can imagine we're inundated with requests each week for samples &amp; as much as we'd love to be able to send sweets 1/2,1,0
.@KurtSchlichter Yep considering that *millions* of Japanese fatalities were projected for Downfall. @_FreeMarketeer @dibang,1,0
@Pam_Palmater i agree with @perrybellegarde to get out &amp; vote. Look at devastation @pmharper caused #FirstNations #IdleNoMore #cndpoli #yyj,1,0
@tinybaby @adultblackmale @mattytalks meltdown mwednesday,1,0
Too dangerous for them. But it's OK for the rest of us to be in danger. https://t.co/YL67DKf4tb,0,1
? High Skies - Burning Buildings ? http://t.co/uVq41i3Kx2 #nowplaying,0,1
"sorry-I built a fire by my desk already. RT@irishirr
@MChapmanWSAZ @WSAZ_Brittany @kellyannwx ..please maintain that snowstorm til I arrive.",0,1
